productCode,productName,productLine,quantityInStock,warehouseCode
S18_1342,"1937 Lincoln Berline","Vintage Cars",8693,c
S18_1367,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",8635,c
S18_1749,"1917 Grand Touring Sedan","Vintage Cars",2724,c
S18_2248,"1911 Ford Town Car","Vintage Cars",540,c
S18_2325,"1932 Model A Ford J-Coupe","Vintage Cars",9354,c
S18_2795,"1928 Mercedes-Benz SSK","Vintage Cars",548,c
S18_2949,"1913 Ford Model T Speedster","Vintage Cars",4189,c
S18_2957,"1934 Ford V8 Coupe","Vintage Cars",5649,c
S18_3136,"18th Century Vintage Horse Carriage","Vintage Cars",5992,c
S18_3140,"1903 Ford Model A","Vintage Cars",3913,c
S18_3320,"1917 Maxwell Touring Car","Vintage Cars",7913,c
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",2378,c
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",6553,c
S18_4522,"1904 Buick Runabout","Vintage Cars",8290,c
S18_4668,"1939 Cadillac Limousine","Vintage Cars",6645,c
S24_1937,"1939 Chevrolet Deluxe Coupe","Vintage Cars",7332,c
S24_2022,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",2847,c
S24_3151,"1912 Ford Model T Delivery Wagon","Vintage Cars",9173,c
S24_3420,"1937 Horch 930V Limousine","Vintage Cars",2902,c
S24_3816,"1940 Ford Delivery Sedan","Vintage Cars",6621,c
S24_3969,"1936 Mercedes Benz 500k Roadster","Vintage Cars",2081,c
S24_4258,"1936 Chrysler Airflow","Vintage Cars",4710,c
S32_4289,"1928 Ford Phaeton Deluxe","Vintage Cars",136,c
S50_1341,"1930 Buick Marquette Phaeton","Vintage Cars",7062,c
