orderNumber,customerName,customerAddressLine1,customerPostalCode,customerLocation,customerCity,customerState,customerCountry,warehouseCode,productName,quantityOrdered,priceEach,employeeNumber,officeCode,officeLocation,officeCity,officeState,officeCountry,officePostalCode
10100,"Online Diecast Creations Co.","2304 Long Airport Avenue",62005,"Nashua,NH,USA,62005",Nashua,NH,USA,c,"1911 Ford Town Car",50,55.09,1216,2,"Boston,MA,USA,02107",Boston,MA,USA,02107
10100,"Online Diecast Creations Co.","2304 Long Airport Avenue",62005,"Nashua,NH,USA,62005",Nashua,NH,USA,c,"1917 Grand Touring Sedan",30,136.00,1216,2,"Boston,MA,USA,02107",Boston,MA,USA,02107
10100,"Online Diecast Creations Co.","2304 Long Airport Avenue",62005,"Nashua,NH,USA,62005",Nashua,NH,USA,c,"1932 Alfa Romeo 8C2300 Spider Sport",22,75.46,1216,2,"Boston,MA,USA,02107",Boston,MA,USA,02107
10100,"Online Diecast Creations Co.","2304 Long Airport Avenue",62005,"Nashua,NH,USA,62005",Nashua,NH,USA,c,"1936 Mercedes Benz 500k Roadster",49,35.29,1216,2,"Boston,MA,USA,02107",Boston,MA,USA,02107
10101,"Blauer See Auto, Co.","Lyonerstr. 34",60528,"Frankfurt,Germany,60528",Frankfurt,NULL,Germany,c,"1928 Mercedes-Benz SSK",26,167.06,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10101,"Blauer See Auto, Co.","Lyonerstr. 34",60528,"Frankfurt,Germany,60528",Frankfurt,NULL,Germany,c,"1932 Model A Ford J-Coupe",25,108.06,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10101,"Blauer See Auto, Co.","Lyonerstr. 34",60528,"Frankfurt,Germany,60528",Frankfurt,NULL,Germany,c,"1938 Cadillac V-16 Presidential Limousine",46,44.35,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10101,"Blauer See Auto, Co.","Lyonerstr. 34",60528,"Frankfurt,Germany,60528",Frankfurt,NULL,Germany,c,"1939 Chevrolet Deluxe Coupe",45,32.53,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10102,"Vitachrome Inc.","2678 Kingston Rd.",10022,"NYC,NY,USA,10022",NYC,NY,USA,c,"1936 Mercedes-Benz 500K Special Roadster",41,43.13,1286,3,"NYC,NY,USA,10022",NYC,NY,USA,10022
10102,"Vitachrome Inc.","2678 Kingston Rd.",10022,"NYC,NY,USA,10022",NYC,NY,USA,c,"1937 Lincoln Berline",39,95.55,1286,3,"NYC,NY,USA,10022",NYC,NY,USA,10022
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,c,"18th Century Vintage Horse Carriage",25,86.92,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,c,"1913 Ford Model T Speedster",27,92.19,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,c,"1917 Maxwell Touring Car",46,86.31,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,d,"1926 Ford Fire Engine",22,58.34,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,c,"1934 Ford V8 Coupe",35,61.84,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,c,"1936 Chrysler Airflow",25,88.62,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,c,"1939 Cadillac Limousine",41,40.75,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,d,"1940 Ford Pickup Truck",35,94.50,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,d,"1940s Ford truck",36,98.07,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,b,"1952 Alpine Renault 1300",26,214.30,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,d,"1958 Setra Bus",27,121.64,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,b,"1962 LanciaA Delta 16V",42,119.67,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,d,"1962 Volkswagen Microbus",36,107.34,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,d,"1980’s GM Manhattan Express",31,92.46,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,b,"1982 Camaro Z28",42,94.07,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10103,"Baane Mini Imports","Erling Skakkes gate 78",4110,"Stavern,Norway,4110",Stavern,NULL,Norway,d,"1996 Peterbilt 379 Stake Bed with Outrigger",45,63.35,1504,7,"London,UK,EC2N 1HN",London,NULL,UK,"EC2N 1HN"
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,d,"1950's Chicago Surface Lines Streetcar",49,56.55,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,d,"1954 Greyhound Scenicruiser",35,51.95,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,d,"1957 Chevy Pickup",41,111.39,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,b,"1958 Chevy Corvette Limited Edition",44,30.41,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,d,"1962 City of Detroit Streetcar",32,53.31,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,d,"1964 Mercedes Tour Bus",29,122.73,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,b,"1969 Corvair Monza",34,131.44,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,b,"1970 Dodge Coronet",35,52.02,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,b,"1970 Triumph Spitfire",38,119.20,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,b,"1992 Ferrari 360 Spider red",23,165.95,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,b,"1992 Porsche Cayenne Turbo Silver",26,106.45,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,b,"1998 Chrysler Plymouth Prowler",24,135.90,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10104,"Euro+ Shopping Channel","C/ Moralzarzal, 86",28034,"Madrid,Spain,28034",Madrid,NULL,Spain,d,"Diamond T620 Semi-Skirted Tanker",33,114.59,1370,4,"Paris,France,75017",Paris,NULL,France,75017
10105,"Danish Wholesale Imports","Vinbæltet 34",1734,"Kobenhavn,Denmark,1734",Kobenhavn,NULL,Denmark,d,"18th century schooner",43,117.97,1401,4,"Paris,France,75017",Paris,NULL,France,75017
10105,"Danish Wholesale Imports","Vinbæltet 34",1734,"Kobenhavn,Denmark,1734",Kobenhavn,NULL,Denmark,c,"1903 Ford Model A",22,136.59,1401,4,"Paris,France,75017",Paris,NULL,France,75017
10105,"Danish Wholesale Imports","Vinbæltet 34",1734,"Kobenhavn,Denmark,1734",Kobenhavn,NULL,Denmark,c,"1904 Buick Runabout",41,75.48,1401,4,"Paris,France,75017",Paris,NULL,France,75017
10105,"Danish Wholesale Imports","Vinbæltet 34",1734,"Kobenhavn,Denmark,1734",Kobenhavn,NULL,Denmark,c,"1912 Ford Model T Delivery Wagon",44,73.46,1401,4,"Paris,France,75017",Paris,NULL,France,75017
10105,"Danish Wholesale Imports","Vinbæltet 34",1734,"Kobenhavn,Denmark,1734",Kobenhavn,NULL,Denmark,c,"1940 Ford Delivery Sedan",50,75.47,1401,4,"Paris,France,75017",Paris,NULL,France,75017
